1762	872	738.0	-1
838	1064	186.0	+1
1650	948	626.0	+1
817	607	207.0	+1
766	594	258.0	+1
299	582	725.0	-1
395	1124	629.0	+1
755	1144	269.0	+1
626	244	398.0	+1
1453	387	429.0	+1
1172	725	148.0	+1
1635	166	611.0	+1
296	1178	728.0	-1
1939	232	915.0	-1
1661	559	637.0	+1
261	1050	763.0	-1
1246	783	222.0	+1
1179	494	155.0	+1
360	579	664.0	+1
1895	999	871.0	-1
1220	579	196.0	+1
1850	258	826.0	-1
55	352	969.0	-1
1657	891	633.0	+1
1672	1120	648.0	+1
1846	626	822.0	-1
684	8	340.0	+1
1105	1030	81.0	+1
1695	596	671.0	+1
193	878	831.0	-1
1582	89	558.0	+1
1876	238	852.0	-1
1245	1212	221.0	+1
1411	682	387.0	+1
660	995	364.0	+1
973	727	51.0	+1
1899	264	875.0	-1
816	244	208.0	+1
1421	1084	397.0	+1
1808	1109	784.0	-1
1514	922	490.0	+1
891	1051	133.0	+1
1272	26	248.0	+1
728	612	296.0	+1
1062	1085	38.0	+1
468	472	556.0	+1
83	537	941.0	-1
795	287	229.0	+1
2001	248	977.0	-1
1084	1053	60.0	+1
926	1095	98.0	+1
1194	671	170.0	+1
1800	218	776.0	-1
1399	721	375.0	+1
599	447	425.0	+1
772	431	252.0	+1
1491	329	467.0	+1
74	18	950.0	-1
2020	529	996.0	-1
71	606	953.0	-1
1954	672	930.0	-1
1270	350	246.0	+1
935	1139	89.0	+1
727	780	297.0	+1
1732	990	708.0	-1
1020	435	4.0	+1
526	598	498.0	+1
324	135	700.0	+1
1814	996	790.0	-1
834	189	190.0	+1
350	630	674.0	+1
1583	253	559.0	+1
688	624	336.0	+1
1293	796	269.0	+1
137	933	887.0	-1
848	99	176.0	+1
1816	193	792.0	-1
712	28	312.0	+1
94	694	930.0	-1
1169	1075	145.0	+1
1906	871	882.0	-1
104	61	920.0	-1
867	985	157.0	+1
506	550	518.0	+1
1167	418	143.0	+1
91	431	933.0	-1
1824	111	800.0	-1
390	153	634.0	+1
1546	610	522.0	+1
807	749	217.0	+1
582	854	442.0	+1
72	838	952.0	-1
149	28	875.0	-1
403	276	621.0	+1
1510	905	486.0	+1
1296	713	272.0	+1
